대륙,국적,성별,A1(외교),A2(공무),B1(사증면제),B2(관광통과),C1(일시취재),C3(단기방문),C4(단기취업),D1(문화예술),D2(유학),D3(기술연수),D4(일반연수),D5(취재),D6(종교),D7(주재),D8(기업투자),D9(무역경영),D10(구직),E1(교수),E2(회화),E3(연구),E4(기술지도),E5(전문직업),E6(예술흥행),E7(특정활동),E8(계절근로),E9(비전문취업),E10(선원취업),F1(방문동거),F2(거주),F3(동반),F4(재외동포),F5(영주),F6(결혼이민),G1(기타),H1(관광취업),H2(방문취업),T1(관광상륙),기타
유럽주,영국외지민,남성,0,0,1,34,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,3,0,0,0,0,2,1,0,1,8,0,0,0,0,0
유럽주,영국외지민,여성,0,0,0,75,0,1,0,0,10,0,7,0,0,0,0,1,0,0,0,0,0,0,1,4,0,0,0,1,1,2,2,5,25,0,5,0,0,0
유럽주,불가리아,남성,1,2,21,3,0,0,0,0,5,0,2,0,0,0,1,3,1,2,0,0,1,0,2,5,0,0,0,1,4,2,0,2,11,0,0,0,0,1
유럽주,불가리아,여성,2,2,15,0,0,0,0,0,37,0,5,0,0,0,0,0,0,0,0,1,0,0,1,4,0,0,0,1,3,6,0,8,16,0,0,0,0,1
유럽주,리투아니아,남성,7,3,14,1,0,0,0,0,18,0,2,0,0,0,1,2,1,0,0,0,0,0,0,3,0,0,0,1,4,0,1,1,5,0,0,0,0,0
유럽주,리투아니아,여성,6,2,24,0,0,0,0,0,30,0,4,0,1,0,0,0,1,0,0,0,0,0,5,1,0,0,0,0,1,1,1,1,14,0,0,0,1,2
유럽주,크로아티아,남성,2,1,0,23,0,1,2,0,3,0,1,0,1,0,0,19,0,1,0,0,0,1,5,7,0,0,0,0,1,2,0,1,6,0,0,0,0,0
유럽주,크로아티아,여성,1,1,1,21,0,0,0,0,8,0,2,0,0,0,0,1,0,3,0,0,0,0,2,1,0,0,0,0,4,9,0,2,6,0,0,0,0,0
유럽주,조지아,남성,7,5,0,6,0,8,1,0,6,0,1,0,0,1,0,1,0,0,0,1,0,0,3,0,0,0,0,2,2,0,0,1,0,0,0,0,0,0
유럽주,조지아,여성,5,9,0,0,0,14,1,0,22,0,6,0,0,0,0,0,2,0,0,0,0,0,2,1,0,0,0,0,5,2,0,1,7,0,0,0,0,0
