구분,업체명,주소(임대면적),주생산품,투자국,입주허가일
동해,㈜지엠아이동해,"강원도 동해시 공단1로 177-16 자가부지 (22,630㎡)",식품제조,국내,2021-08-25
동해,㈜노르코아쿠아월드,"강원도 동해시 공단1로 177-16 자가부지 (13,220㎡)",수산물 도소매,국내,2021-09-03
율촌,(주)한국체서피크,"전라남도 순천시 해룡면 율촌산단4로 26-28(6,596㎡)",주물 첨가제,미국,2007-07-01
율촌,(주)엘티아이,"전라남도 순천시 해룡면 율촌산단4로 26-231(11,438.1㎡)",공작기계,일본,2010-08-20
율촌,(주)인터켐석유화학컴플렉스,"전라남도 순천시 해룡면 율촌산단4로 26-94(5,973.7㎡)",유황,홍콩,2011-11-14
율촌,(주)광양훼더,"전라남도 순천시 해룡면 율촌산단4로 26-133(26,456.5㎡)",섬유제품 원료(우모),중국,2011-12-19
율촌,씨엠씨코리아(주),"전라남도 순천시 해룡면 율촌산단4로 26-29(3,246.3㎡)",건축자재(PP Fiber),일본,2014-01-06
율촌,(주)청광신소재,"전라남도 순천시 해룡면 율촌산단4로 23-84(7,664.1㎡)",유황벤토나이트(비료),인도네시아,2014-07-03
율촌,(주)협성히스코,"전라남도 순천시 해룡면 율촌산단4로 26-16(16,187㎡), 전라남도 순천시 해룡면 율촌산단4로 26-192 표준공장 101,102,201호(3,107.82㎡)","조립식 제어센터, 분석패키지시스템, 계측기",한국,2015-03-19
율촌,케이에스광학㈜,"전라남도 순천시 해룡면 율촌산단4로 26-108(11,545㎡)",고기능성 모노머(광학렌즈용 고분자 소재),독일,2016-04-12
율촌,㈜쓰리에스글로벌,"전라남도 순천시 해룡면 율촌산단4로 26-23(24,888㎡)",산업용 코팅장갑,중국,2018-04-12
율촌,㈜와이에이치테크,전라남도 순천시 해룡면 율촌산단4로 26-192 표준공장 303호(994.75㎡),Level Transmitter,인도네시아,2018-10-15
율촌,㈜마이벨로,"전라남도 순천시 해룡면 율촌산단4로 26-39(10,693.2㎡), 전라남도 순천시 해룡면 호두리 1160-5,6,7(13,476.7㎡),전라남도 순천시 해룡면 율촌산단4로 26-192 표준공장 401, 402호(2,086.93㎡)",전기 자전거,일본,2018-10-16
율촌,㈜마린테크노,전라남도 순천시 해룡면 율촌산단4로 26-192 표준공장 203호(994.75㎡),마린콜라겐,말레이시아,2018-10-17
율촌,㈜필코스메틱코리아,"전라남도 순천시 해룡면 율촌산단 4로 1162-2, 3, 4, 8, 9(22,638㎡)",손 세정제,한국,2020-03-31
율촌,㈜테크빌,전라남도 순천시 해룡면 율촌산단 4로 26-192 표준공장 301호(994.75㎡),치과용 의료기기,한국,2020-05-06
율촌,㈜와이에이치중호,전라남도 순천시 해룡면 율촌산단 4로 26-192 표준공장 403호(994.75㎡),질소산화물 제거용 촉매,중국,2020-06-25
율촌,㈜굿킵스,"전라남도 순천시 해룡면 율촌산단 4로 26-192 표준공장 202호,  302호 (2,184.36㎡)",보건용 마스크,중국,2020-07-01
율촌,㈜가야생명과학,"전라남도 순천시 해룡면 호두리 1159-2(7,058.4㎡)","축산용 배합사료, 사료첨가제, 보조사료",중국,2021-12-21
율촌,㈜리켐,"전라남도 순천시 해룡면 호두리 1161,1162-5,6,7(34,642.4㎡)","수산화리튬, 탄산리튬",미국,2022-08-09
율촌,㈜디와이에코사이언스,"전라남도 순천시 해룡면 호두리 1159,1159-1(9,019.8㎡)",완효성 비료,인도네시아,2023-07-10
율촌,㈜피제이이앤에스,"전라남도 순천시 해룡면 호두리 1158,1158-2,1158-3(22,242.3㎡)","순연, 합금연괴",싱가포르,2023-09-07
울산,㈜티에스엠텍,"울산광역시 울주군 청량읍 처용산업3길 93 (44,448.2㎡)",증류기 열교환기 및 가스발생기 제조업,한국,2013-06-04
울산,㈜뉴캐스트인더스트리,"울산광역시 울주군 청량읍 처용산업5길 11 (3,645.5㎡)",의료용 기기 제조업,한국,2013-10-11
울산,㈜창신인터내셔날,"울산광역시 울주군 온산읍 처용산업3길 32 (6,654㎡)",토목공사 및 유사용 기계장비 제조업,한국,2013-09-30
울산,㈜아이엠아이,"울산광역시 울주군 온산읍 처용산업3길 30-16 (2,970㎡)","고무,화학섬유 및 플라스틱 성형기 제조업",한국,2013-10-10
울산,㈜영광,"울산광역시 울주군 청량읍 처용산업5길 55 (22,329㎡)",일반 목적용 기계 제조업,한국,2014-02-19
울산,㈜코리아피앤시,"울산광역시 울주군 청량읍 처용산업5길 23 (4,329.2㎡)",자동차부품 조립 제조업,한국,2014-03-11
울산,㈜나재,"울산광역시 울주군 청량읍 처용산업5길 29 (8,085㎡)",프레스금형 제조업,한국,2014-03-12
울산,동성정공㈜,"울산광역시 울주군 청량읍 처용산업3길 47 (19,504.3㎡)",금속조립 구조재 제조업,한국,2014-03-24
울산,파워열기기㈜,"울산광역시 울주군 청량읍 처용산업3길 122 (6,605㎡)",증기발생기 및 열교환기 제조업,한국,2014-03-31
울산,㈜오케이텍,"울산광역시 울주군 온산읍 처용산업3길 30-26 (3,333.19㎡)",탭밸브 및 유사장치제조업,일본,2014-04-11
울산,㈜한국몰드,"울산광역시 울주군 청량읍 처용산업3길 144 (10,554.5㎡)",자동차 차체형 부품제조업,한국,2014-04-29
울산,맨텍㈜,"울산광역시 울주군 온산읍 처용산업3길 30-12 (4,943.8㎡)",금속파너스 및 나사제품 제조업,한국,2014-05-14
울산,㈜매크론,"울산광역시 울주군 청량읍 처용산업3길 129 (9,900㎡)","전자기 측정,시험 분석기구 제조업",한국,2014-06-25
