대륙,국적,성별,인천공항,김해공항,김포공항,부  산,울  산,여  수,대  구,제  주,광  양,인  천,평  택,감  천,평택항,무안공항,양양공항,창  원,동  해,서  산,군  산,당  진,포  항,거  제,통  영,목  포,성  남,청  주,제주항,사  천,속  초
아시아주,한국계중국인,남성,1509,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
아시아주,한국계중국인,여성,1272,10,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
아시아주,이란,남성,1620,15,3,13,0,10,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
아시아주,이란,여성,828,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
아시아주,요르단,남성,1188,2,0,20,3,8,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0
아시아주,요르단,여성,235,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
아시아주,이라크,남성,1279,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
아시아주,이라크,여성,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
아시아주,시리아,남성,900,2,1,101,8,48,0,0,30,17,0,0,0,0,0,0,1,0,0,0,13,0,0,0,1,0,0,0,0
아시아주,시리아,여성,292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
아시아주,브루나이,남성,590,4,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
아시아주,브루나이,여성,694,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
아시아주,카타르,남성,539,1,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
아시아주,카타르,여성,402,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
아시아주,쿠웨이트,남성,519,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
아시아주,쿠웨이트,여성,379,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
아시아주,티모르민주공화국,남성,598,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
아시아주,티모르민주공화국,여성,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
아시아주,예멘공화국,남성,481,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
아시아주,예멘공화국,여성,104,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
아시아주,레바논,남성,481,1,3,0,1,2,0,1,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
아시아주,레바논,여성,93,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
아시아주,오만,남성,347,0,0,0,3,0,0,0,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
아시아주,오만,여성,185,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
아시아주,마카오,남성,137,2,4,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
아시아주,마카오,여성,219,3,4,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
아시아주,키프로스,남성,190,6,2,9,4,16,0,2,1,2,0,0,0,0,0,0,1,1,6,1,0,5,1,0,0,0,0,0,0
아시아주,키프로스,여성,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
아시아주,바레인,남성,170,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
아시아주,바레인,여성,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
아시아주,투르크메니스탄,남성,110,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0
아시아주,투르크메니스탄,여성,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
아시아주,아프가니스탄,남성,167,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
아시아주,아프가니스탄,여성,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
아시아주,팔레스타인,남성,144,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
아시아주,팔레스타인,여성,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
아시아주,부탄,남성,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
아시아주,부탄,여성,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
아시아주,몰디브,남성,76,0,0,0,4,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0
아시아주,몰디브,여성,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
북아메리카주,미국,남성,333824,3398,4316,1345,181,430,144,133,493,41,21240,81,30,7,26,1367,8,7,259,0,1811,3,2,153,54,2,0,0,0
북아메리카주,미국,여성,219518,2510,2218,16,8,3,109,127,2,0,5248,4,0,3,34,38,1,0,22,0,193,0,1,4,2,0,0,0,0
북아메리카주,미국,제3의성,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
북아메리카주,캐나다,남성,53692,581,478,28,1,2,21,51,0,0,52,0,0,1,5,0,4,0,0,0,0,0,0,1,0,0,1,0,0
북아메리카주,캐나다,여성,35345,428,258,3,0,0,12,46,0,0,6,1,0,0,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0
북아메리카주,캐나다,제3의성,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
남아메리카주,멕시코,남성,4944,64,40,2,6,3,1,4,6,11,1,0,4,1,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0
남아메리카주,멕시코,여성,3380,45,24,0,0,0,4,6,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
남아메리카주,브라질,남성,4495,187,79,3,0,1,0,3,0,0,6,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
남아메리카주,브라질,여성,3241,80,51,0,0,0,0,1,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
남아메리카주,콜롬비아,남성,1422,16,13,1,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
남아메리카주,콜롬비아,여성,1201,14,7,0,0,0,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
남아메리카주,칠레,남성,1015,11,37,46,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
남아메리카주,칠레,여성,756,12,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
남아메리카주,아르헨티나,남성,926,13,22,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
남아메리카주,아르헨티나,여성,638,7,3,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
남아메리카주,페루,남성,652,7,4,3,2,5,0,0,4,5,5,5,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
남아메리카주,페루,여성,684,12,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
남아메리카주,에콰도르,남성,414,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
남아메리카주,에콰도르,여성,418,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
남아메리카주,베네수엘라,남성,390,5,9,2,2,13,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
남아메리카주,베네수엘라,여성,233,4,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
남아메리카주,코스타리카,남성,344,7,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
남아메리카주,코스타리카,여성,243,8,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
남아메리카주,파라과이,남성,252,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
남아메리카주,파라과이,여성,176,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
남아메리카주,파나마,남성,206,3,2,13,0,9,0,1,0,0,0,0,0,0,0,7,0,3,0,0,0,0,0,0,1,0,0,0,0
남아메리카주,파나마,여성,147,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
남아메리카주,도미니카공화국,남성,218,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
남아메리카주,도미니카공화국,여성,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
남아메리카주,과테말라,남성,209,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
남아메리카주,과테말라,여성,149,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
남아메리카주,엘살바도르,남성,196,8,0,1,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,10,0,0,0,0,0
남아메리카주,엘살바도르,여성,124,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
남아메리카주,자메이카,남성,180,3,2,6,6,2,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
남아메리카주,자메이카,여성,110,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
남아메리카주,온두라스,남성,155,0,1,1,1,2,1,0,2,0,1,0,0,0,0,0,0,16,1,0,0,0,0,0,0,0,0,0,0
남아메리카주,온두라스,여성,100,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
남아메리카주,볼리비아,남성,153,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
남아메리카주,볼리비아,여성,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
남아메리카주,세인트크리스토퍼네비스,남성,117,1,8,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
남아메리카주,세인트크리스토퍼네비스,여성,59,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
남아메리카주,우루과이,남성,94,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
남아메리카주,우루과이,여성,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
남아메리카주,도미니카연방,남성,110,1,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
남아메리카주,도미니카연방,여성,33,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
남아메리카주,트리니다드토바고,남성,80,0,1,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
남아메리카주,트리니다드토바고,여성,60,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
남아메리카주,쿠바,남성,59,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
남아메리카주,쿠바,여성,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
남아메리카주,니카라과,남성,47,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
남아메리카주,니카라과,여성,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
남아메리카주,바베이도스,남성,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
남아메리카주,바베이도스,여성,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
남아메리카주,앤티카바부다,남성,26,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
남아메리카주,앤티카바부다,여성,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
남아메리카주,아이티,남성,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
남아메리카주,아이티,여성,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
남아메리카주,그레나다,남성,26,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
남아메리카주,그레나다,여성,18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
남아메리카주,바하마,남성,24,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
남아메리카주,바하마,여성,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
남아메리카주,벨리즈,남성,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
남아메리카주,벨리즈,여성,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
남아메리카주,세인트루시아,남성,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
남아메리카주,세인트루시아,여성,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
남아메리카주,가이아나,남성,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
남아메리카주,가이아나,여성,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
남아메리카주,세인트빈센트그레나딘,남성,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
남아메리카주,세인트빈센트그레나딘,여성,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
남아메리카주,수리남,남성,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
남아메리카주,수리남,여성,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
유럽주,독일,남성,44629,447,609,165,31,49,4,32,11,2,3,4,6,1,0,26,2,5,4,0,1,1,0,13,14,0,0,0,0
유럽주,독일,여성,18263,237,159,6,0,0,7,20,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
유럽주,프랑스,남성,36885,386,719,95,13,33,22,52,5,24,2,1,5,2,1,1,8,0,0,0,0,3,3,34,9,0,3,0,0
유럽주,프랑스,여성,22732,226,211,5,3,1,8,29,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4,2,0,0,0,0
유럽주,러시아 (연방),남성,17085,568,52,4877,989,981,1,11,395,735,0,6772,380,1,0,668,2483,129,224,32,38,224,152,273,0,0,2,28,106
유럽주,러시아 (연방),여성,15190,465,65,19,5,2,2,12,0,3,0,9,2,0,0,0,1802,0,1,0,4,7,0,0,0,0,0,1,2
유럽주,영국,남성,27680,533,596,251,38,69,18,67,12,31,8,32,18,0,1,17,82,13,2,0,0,12,19,0,3,0,11,0,0
유럽주,영국,여성,15251,236,178,7,0,2,2,41,0,0,8,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
유럽주,네덜란드,남성,18974,179,137,72,62,28,3,16,2,1,2,2,17,0,0,21,52,8,8,2,0,4,1,26,1,0,0,0,0
유럽주,네덜란드,여성,5623,64,38,2,1,0,1,7,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
유럽주,이탈리아,남성,11795,143,275,67,48,31,0,11,53,15,6,1,9,0,1,15,4,2,4,0,0,0,4,8,2,0,0,0,0
유럽주,이탈리아,여성,5300,43,58,0,0,0,2,8,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
